4. Èþíü 2011 | 19:50:24 | Current JunkBuster configuration:
4. Èþíü 2011 | 19:50:24 | - WeaponHack = 1
4. Èþíü 2011 | 19:50:24 | - MoneyHack = 1
4. Èþíü 2011 | 19:50:24 | - Jetpack = 1
4. Èþíü 2011 | 19:50:24 | - HealthHack = 0
4. Èþíü 2011 | 19:50:24 | - ArmourHack = 0
4. Èþíü 2011 | 19:50:24 | - DriveBy = 1
4. Èþíü 2011 | 19:50:24 | - Spam = 1
4. Èþíü 2011 | 19:50:24 | - CommandSpam = 1
4. Èþíü 2011 | 19:50:24 | - BadWords = 1
4. Èþíü 2011 | 19:50:24 | - CarJackHack = 1
4. Èþíü 2011 | 19:50:24 | - TeleportHack = 1
4. Èþíü 2011 | 19:50:24 | - MaxPing = 250
4. Èþíü 2011 | 19:50:24 | - SpectateHack = 1
4. Èþíü 2011 | 19:50:24 | - Blacklist = 1
4. Èþíü 2011 | 19:50:24 | - IpBans = 1
4. Èþíü 2011 | 19:50:24 | - TempBans = 1
4. Èþíü 2011 | 19:50:24 | - SpawnKill = 0
4. Èþíü 2011 | 19:50:24 | - CapsLock = 0
4. Èþíü 2011 | 19:50:24 | - 3DSpeed = 0
4. Èþíü 2011 | 19:50:24 | - MaxSpeed = 0
4. Èþíü 2011 | 19:50:24 | - AdminImmunity = 1
4. Èþíü 2011 | 19:50:24 | - Advertisement = 0
4. Èþíü 2011 | 19:50:24 | - FreezeUpdate = 1
4. Èþíü 2011 | 19:50:24 | - SpawnTime = 10
4. Èþíü 2011 | 19:50:24 | - CheckpointTeleport = 1
4. Èþíü 2011 | 19:50:24 | - Airbreak = 1
4. Èþíü 2011 | 19:50:24 | - TankMode = 1
4. Èþíü 2011 | 19:50:24 | - WarnPlayers = 0
4. Èþíü 2011 | 19:50:24 | 0 IP-bans have been loaded.
4. Èþíü 2011 | 19:50:24 | 0 temporary bans have been loaded.
4. Èþíü 2011 | 19:50:24 | 1 whitelist entries have been loaded.
4. Èþíü 2011 | 19:50:24 | 0 blacklist entries have been loaded.
4. Èþíü 2011 | 19:50:24 | 8 bad words have been loaded.
4. Èþíü 2011 | 19:50:24 | 7 forbidden weapons have been loaded.
4. Èþíü 2011 | 19:50:24 | JunkBuster has been configurated.
4. Èþíü 2011 | 19:50:24 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 13:19:05 | Current JunkBuster configuration:
5. Èþíü 2011 | 13:19:06 | - WeaponHack = 1
5. Èþíü 2011 | 13:19:06 | - MoneyHack = 1
5. Èþíü 2011 | 13:19:06 | - Jetpack = 1
5. Èþíü 2011 | 13:19:06 | - HealthHack = 0
5. Èþíü 2011 | 13:19:06 | - ArmourHack = 0
5. Èþíü 2011 | 13:19:06 | - DriveBy = 1
5. Èþíü 2011 | 13:19:06 | - Spam = 1
5. Èþíü 2011 | 13:19:06 | - CommandSpam = 1
5. Èþíü 2011 | 13:19:06 | - BadWords = 1
5. Èþíü 2011 | 13:19:06 | - CarJackHack = 1
5. Èþíü 2011 | 13:19:06 | - TeleportHack = 1
5. Èþíü 2011 | 13:19:06 | - MaxPing = 500
5. Èþíü 2011 | 13:19:06 | - SpectateHack = 1
5. Èþíü 2011 | 13:19:06 | - Blacklist = 1
5. Èþíü 2011 | 13:19:06 | - IpBans = 1
5. Èþíü 2011 | 13:19:06 | - TempBans = 1
5. Èþíü 2011 | 13:19:06 | - SpawnKill = 0
5. Èþíü 2011 | 13:19:06 | - CapsLock = 0
5. Èþíü 2011 | 13:19:06 | - 3DSpeed = 0
5. Èþíü 2011 | 13:19:06 | - MaxSpeed = 0
5. Èþíü 2011 | 13:19:06 | - AdminImmunity = 1
5. Èþíü 2011 | 13:19:06 | - Advertisement = 0
5. Èþíü 2011 | 13:19:06 | - FreezeUpdate = 1
5. Èþíü 2011 | 13:19:06 | - SpawnTime = 10
5. Èþíü 2011 | 13:19:06 | - CheckpointTeleport = 1
5. Èþíü 2011 | 13:19:06 | - Airbreak = 1
5. Èþíü 2011 | 13:19:06 | - TankMode = 1
5. Èþíü 2011 | 13:19:07 | - WarnPlayers = 0
5. Èþíü 2011 | 13:19:07 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 13:19:07 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 13:19:07 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 13:19:07 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 13:19:07 | 8 bad words have been loaded.
5. Èþíü 2011 | 13:19:07 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 13:19:07 | JunkBuster has been configurated.
5. Èþíü 2011 | 13:19:07 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 13:56:37 | Current JunkBuster configuration:
5. Èþíü 2011 | 13:56:37 | - WeaponHack = 1
5. Èþíü 2011 | 13:56:37 | - MoneyHack = 1
5. Èþíü 2011 | 13:56:37 | - Jetpack = 1
5. Èþíü 2011 | 13:56:37 | - HealthHack = 0
5. Èþíü 2011 | 13:56:37 | - ArmourHack = 0
5. Èþíü 2011 | 13:56:37 | - DriveBy = 1
5. Èþíü 2011 | 13:56:37 | - Spam = 1
5. Èþíü 2011 | 13:56:37 | - CommandSpam = 1
